ID,Resume Text,Job Role,ATS Score
1,"Experienced data scientist skilled in Python, SQL, and machine learning.",Data Scientist,85
2,Software engineer with 5 years of experience in full-stack development.,Full-Stack Developer,78
3,"Marketing expert skilled in SEO, Google Ads, and social media campaigns.",Digital Marketing Specialist,72
4,"Project manager experienced in agile methodologies, team leadership, and risk management.",Project Manager,90
5,AI research scientist with expertise in deep learning and NLP.,AI Research Scientist,88
6,Cybersecurity analyst with experience in threat detection and network security.,Cybersecurity Analyst,80
7,"Cloud engineer with AWS, Azure, and DevOps expertise.",Cloud Engineer,82
8,HR manager experienced in recruitment and employee engagement.,HR Manager,74
9,"Graphic designer skilled in Adobe Photoshop, Illustrator, and UI/UX.",Graphic Designer,70
10,"Data analyst with expertise in SQL, Power BI, and Python.",Data Analyst,76
